"Order_ID";"Order_Date";"Order_Priority";"Ord_id";"DaysTakenForDelivery";"Date_Ordered"
3;"2010-10-13";"LOW";1;0;""
6;"2012-02-20";"NOT SPECIFIED";5344;0;""
32;"2011-07-15";"HIGH";3806;0;""
35;"2011-10-22";"NOT SPECIFIED";497;0;""
36;"2011-11-02";"CRITICAL";5134;0;""
65;"2011-03-17";"CRITICAL";1304;0;""
66;"2009-01-19";"LOW";5085;0;""
69;"2009-06-03";"NOT SPECIFIED";3807;0;""
70;"2010-12-17";"LOW";2326;0;""
96;"2009-04-16";"HIGH";3118;0;""
97;"2010-01-28";"MEDIUM";4237;0;""
129;"2012-11-18";"LOW";1214;0;""
130;"2012-05-07";"HIGH";4004;0;""
132;"2010-06-10";"MEDIUM";1981;0;""
134;"2012-04-30";"NOT SPECIFIED";1681;0;""
135;"2011-10-20";"NOT SPECIFIED";2327;0;""
166;"2011-09-11";"HIGH";3203;0;""
193;"2010-08-07";"CRITICAL";2328;0;""
194;"2012-04-04";"MEDIUM";5135;0;""
195;"2010-12-27";"MEDIUM";4332;0;""
197;"2011-04-06";"HIGH";3204;0;""
224;"2009-06-17";"NOT SPECIFIED";4333;0;""
225;"2011-05-24";"CRITICAL";2329;0;""
229;"2010-12-28";"CRITICAL";876;0;""
230;"2010-10-26";"CRITICAL";1305;0;""
231;"2009-09-28";"HIGH";3205;0;""
258;"2010-12-28";"CRITICAL";1982;0;""
261;"2010-06-28";"MEDIUM";594;0;""
263;"2009-05-16";"HIGH";4334;0;""
290;"2009-01-05";"NOT SPECIFIED";2330;0;""
292;"2012-01-12";"HIGH";3940;0;""
293;"2012-10-01";"HIGH";2;0;""
294;"2010-07-15";"MEDIUM";498;0;""
322;"2012-03-18";"CRITICAL";683;0;""
323;"2009-03-25";"CRITICAL";4238;0;""
324;"2012-03-19";"CRITICAL";3808;0;""
325;"2010-10-16";"LOW";1983;0;""
326;"2011-06-03";"HIGH";2065;0;""
353;"2010-12-30";"LOW";4335;0;""
355;"2009-06-13";"LOW";1306;0;""
358;"2010-09-19";"HIGH";4949;0;""
359;"2009-12-18";"MEDIUM";5247;0;""
384;"2012-03-02";"LOW";5136;0;""
386;"2011-01-24";"HIGH";2575;0;""
388;"2012-12-15";"NOT SPECIFIED";1215;0;""
416;"2010-09-26";"LOW";2576;0;""
417;"2009-02-05";"MEDIUM";4336;0;""
420;"2011-10-30";"NOT SPECIFIED";5345;0;""
448;"2011-08-20";"MEDIUM";4337;0;""
449;"2011-07-19";"HIGH";1307;0;""
450;"2011-03-04";"NOT SPECIFIED";499;0;""
454;"2011-12-26";"LOW";2833;0;""
481;"2012-10-07";"HIGH";4836;0;""
483;"2011-07-10";"HIGH";3;0;""
487;"2012-08-17";"CRITICAL";3206;0;""
512;"2011-05-19";"LOW";3525;0;""
513;"2011-04-30";"HIGH";2577;0;""
515;"2010-08-28";"NOT SPECIFIED";4;0;""
548;"2009-09-20";"CRITICAL";3643;0;""
549;"2012-07-12";"CRITICAL";2834;0;""
610;"2011-08-01";"CRITICAL";3119;0;""
611;"2010-01-26";"CRITICAL";2578;0;""
612;"2012-10-20";"MEDIUM";3120;0;""
613;"2011-06-17";"HIGH";5;0;""
614;"2012-11-30";"HIGH";2066;0;""
640;"2010-01-22";"HIGH";1308;0;""
643;"2011-03-24";"HIGH";6;0;""
644;"2012-04-30";"CRITICAL";2331;0;""
645;"2009-12-02";"HIGH";342;0;""
646;"2009-11-21";"HIGH";1309;0;""
678;"2010-02-26";"LOW";7;0;""
706;"2011-09-08";"CRITICAL";877;0;""
710;"2010-01-01";"LOW";3207;0;""
738;"2010-03-01";"NOT SPECIFIED";2332;0;""
740;"2011-07-15";"MEDIUM";1682;0;""
769;"2010-06-01";"MEDIUM";343;0;""
771;"2011-06-16";"CRITICAL";3644;0;""
772;"2010-04-16";"HIGH";2333;0;""
773;"2010-09-25";"MEDIUM";344;0;""
774;"2011-12-03";"CRITICAL";5137;0;""
775;"2011-03-17";"CRITICAL";1872;0;""
801;"2012-02-17";"CRITICAL";3208;0;""
802;"2011-01-04";"CRITICAL";2579;0;""
805;"2011-07-04";"NOT SPECIFIED";4005;0;""
807;"2010-11-23";"MEDIUM";8;0;""
832;"2012-04-18";"LOW";5248;0;""
833;"2009-02-12";"MEDIUM";1683;0;""
834;"2009-05-22";"MEDIUM";4837;0;""
835;"2011-10-07";"NOT SPECIFIED";1310;0;""
837;"2009-06-14";"NOT SPECIFIED";1194;0;""
868;"2012-06-08";"NOT SPECIFIED";9;0;""
870;"2010-06-19";"NOT SPECIFIED";3209;0;""
871;"2011-11-14";"LOW";4338;0;""
896;"2010-03-08";"CRITICAL";1311;0;""
898;"2010-06-02";"HIGH";2067;0;""
