"Order_ID";"Ship_Mode";"Ship_Date";"Ship_id";"ship_date_trimmed";"dd";"mm";"yyyy";"ddmmyyyy"
3;"REGULAR AIR";"20-10-2010";1;"20-10-2010";"20";"10";"2010";"20-10-2010"
293;"DELIVERY TRUCK";"02-10-2012";2;"02-10-2012";"02";"10";"2012";"02-10-2012"
293;"REGULAR AIR";"03-10-2012";3;"03-10-2012";"03";"10";"2012";"03-10-2012"
483;"REGULAR AIR";"12-07-2011";4;"12-07-2011";"12";"07";"2011";"12-07-2011"
515;"REGULAR AIR";"30-08-2010";5;"30-08-2010";"30";"08";"2010";"30-08-2010"
613;"REGULAR AIR";"17-06-2011";6;"17-06-2011";"17";"06";"2011";"17-06-2011"
613;"REGULAR AIR";"18-06-2011";7;"18-06-2011";"18";"06";"2011";"18-06-2011"
643;"EXPRESS AIR";"25-03-2011";8;"25-03-2011";"25";"03";"2011";"25-03-2011"
678;"REGULAR AIR";"26-02-2010";9;"26-02-2010";"26";"02";"2010";"26-02-2010"
807;"REGULAR AIR";"24-11-2010";10;"24-11-2010";"24";"11";"2010";"24-11-2010"
868;"REGULAR AIR";"09-06-2012";11;"09-06-2012";"09";"06";"2012";"09-06-2012"
868;"REGULAR AIR";"10-06-2012";12;"10-06-2012";"10";"06";"2012";"10-06-2012"
933;"REGULAR AIR";"04-08-2012";13;"04-08-2012";"04";"08";"2012";"04-08-2012"
995;"REGULAR AIR";"31-05-2011";14;"31-05-2011";"31";"05";"2011";"31-05-2011"
998;"REGULAR AIR";"26-11-2009";15;"26-11-2009";"26";"11";"2009";"26-11-2009"
1154;"DELIVERY TRUCK";"16-02-2012";16;"16-02-2012";"16";"02";"2012";"16-02-2012"
1154;"REGULAR AIR";"16-02-2012";17;"16-02-2012";"16";"02";"2012";"16-02-2012"
1344;"REGULAR AIR";"22-04-2012";18;"22-04-2012";"22";"04";"2012";"22-04-2012"
1344;"REGULAR AIR";"19-04-2012";19;"19-04-2012";"19";"04";"2012";"19-04-2012"
1412;"EXPRESS AIR";"14-03-2010";20;"14-03-2010";"14";"03";"2010";"14-03-2010"
1412;"REGULAR AIR";"14-03-2010";21;"14-03-2010";"14";"03";"2010";"14-03-2010"
1539;"REGULAR AIR";"11-03-2011";22;"11-03-2011";"11";"03";"2011";"11-03-2011"
1539;"REGULAR AIR";"14-03-2011";23;"14-03-2011";"14";"03";"2011";"14-03-2011"
1540;"REGULAR AIR";"06-08-2012";24;"06-08-2012";"06";"08";"2012";"06-08-2012"
1702;"REGULAR AIR";"07-05-2011";25;"07-05-2011";"07";"05";"2011";"07-05-2011"
1761;"DELIVERY TRUCK";"25-12-2010";26;"25-12-2010";"25";"12";"2010";"25-12-2010"
1792;"REGULAR AIR";"13-11-2010";27;"13-11-2010";"13";"11";"2010";"13-11-2010"
2275;"REGULAR AIR";"22-10-2012";28;"22-10-2012";"22";"10";"2012";"22-10-2012"
2277;"REGULAR AIR";"02-01-2011";29;"02-01-2011";"02";"01";"2011";"02-01-2011"
2277;"REGULAR AIR";"03-01-2011";30;"03-01-2011";"03";"01";"2011";"03-01-2011"
2532;"REGULAR AIR";"11-10-2011";31;"11-10-2011";"11";"10";"2011";"11-10-2011"
2631;"REGULAR AIR";"25-09-2010";32;"25-09-2010";"25";"09";"2010";"25-09-2010"
2757;"DELIVERY TRUCK";"19-07-2011";33;"19-07-2011";"19";"07";"2011";"19-07-2011"
2791;"REGULAR AIR";"09-10-2009";34;"09-10-2009";"09";"10";"2009";"09-10-2009"
2791;"DELIVERY TRUCK";"11-10-2009";35;"11-10-2009";"11";"10";"2009";"11-10-2009"
2791;"REGULAR AIR";"10-10-2009";36;"10-10-2009";"10";"10";"2009";"10-10-2009"
2976;"DELIVERY TRUCK";"11-12-2010";37;"11-12-2010";"11";"12";"2010";"11-12-2010"
3232;"REGULAR AIR";"10-10-2012";38;"10-10-2012";"10";"10";"2012";"10-10-2012"
3524;"REGULAR AIR";"03-05-2012";39;"03-05-2012";"03";"05";"2012";"03-05-2012"
3908;"REGULAR AIR";"08-03-2010";40;"08-03-2010";"08";"03";"2010";"08-03-2010"
4132;"REGULAR AIR";"30-05-2011";41;"30-05-2011";"30";"05";"2011";"30-05-2011"
4612;"REGULAR AIR";"21-09-2010";42;"21-09-2010";"21";"09";"2010";"21-09-2010"
4676;"REGULAR AIR";"01-09-2011";43;"01-09-2011";"01";"09";"2011";"01-09-2011"
4676;"REGULAR AIR";"02-09-2011";44;"02-09-2011";"02";"09";"2011";"02-09-2011"
