Order_ID,Ship_Mode,Ship_Date,Ship_id
3,REGULAR AIR,20-10-2010,1
293,DELIVERY TRUCK,2/10/2012,2
293,REGULAR AIR,3/10/2012,3
483,REGULAR AIR,12/7/2011,4
515,REGULAR AIR,30-08-2010,5
613,REGULAR AIR,17-06-2011,6
613,REGULAR AIR,18-06-2011,7
643,EXPRESS AIR,25-03-2011,8
678,REGULAR AIR,26-02-2010,9
807,REGULAR AIR,24-11-2010,10
868,REGULAR AIR,9/6/2012,11
868,REGULAR AIR,10/6/2012,12
933,REGULAR AIR,4/8/2012,13
995,REGULAR AIR,31-05-2011,14
998,REGULAR AIR,26-11-2009,15
1154,DELIVERY TRUCK,16-02-2012,16
1154,REGULAR AIR,16-02-2012,17
1344,REGULAR AIR,22-04-2012,18
1344,REGULAR AIR,19-04-2012,19
1412,EXPRESS AIR,14-03-2010,20
1412,REGULAR AIR,14-03-2010,21
1539,REGULAR AIR,11/3/2011,22
1539,REGULAR AIR,14-03-2011,23
1540,REGULAR AIR,6/8/2012,24
1702,REGULAR AIR,7/5/2011,25
1761,DELIVERY TRUCK,25-12-2010,26
1792,REGULAR AIR,13-11-2010,27
2275,REGULAR AIR,22-10-2012,28
2277,REGULAR AIR,2/1/2011,29
2277,REGULAR AIR,3/1/2011,30
2532,REGULAR AIR,11/10/2011,31
2631,REGULAR AIR,25-09-2010,32
2757,DELIVERY TRUCK,19-07-2011,33
2791,REGULAR AIR,9/10/2009,34
2791,DELIVERY TRUCK,11/10/2009,35
2791,REGULAR AIR,10/10/2009,36
2976,DELIVERY TRUCK,11/12/2010,37
3232,REGULAR AIR,10/10/2012,38
3524,REGULAR AIR,3/5/2012,39
3908,REGULAR AIR,8/3/2010,40
4132,REGULAR AIR,30-05-2011,41
4612,REGULAR AIR,21-09-2010,42
4676,REGULAR AIR,1/9/2011,43
4676,REGULAR AIR,2/9/2011,44
4676,EXPRESS AIR,2/9/2011,45
5284,REGULAR AIR,10/7/2011,46
5316,REGULAR AIR,1/2/2009,47
5409,REGULAR AIR,13-01-2012,48
5506,REGULAR AIR,8/11/2010,49
5569,REGULAR AIR,1/5/2010,50
5607,REGULAR AIR,3/1/2012,51
5894,REGULAR AIR,13-08-2009,52
5894,REGULAR AIR,15-08-2009,53
5925,REGULAR AIR,19-11-2011,54
6016,REGULAR AIR,20-01-2012,55
6116,REGULAR AIR,22-03-2009,56
6182,REGULAR AIR,28-07-2012,57
6182,EXPRESS AIR,25-07-2012,58
6535,EXPRESS AIR,15-06-2012,59
6884,REGULAR AIR,20-01-2009,60
6916,EXPRESS AIR,8/6/2010,61
6980,REGULAR AIR,19-02-2010,62
6982,EXPRESS AIR,18-11-2011,63
6982,DELIVERY TRUCK,18-11-2011,64
6982,REGULAR AIR,18-11-2011,65
7110,REGULAR AIR,11/8/2011,66
7430,REGULAR AIR,9/6/2010,67
7906,REGULAR AIR,17-10-2009,68
8391,DELIVERY TRUCK,29-08-2011,69
8419,EXPRESS AIR,1/10/2011,70
8419,REGULAR AIR,30-09-2011,71
8833,REGULAR AIR,8/5/2012,72
8995,EXPRESS AIR,18-05-2011,73
8995,REGULAR AIR,18-05-2011,74
8995,REGULAR AIR,19-05-2011,75
9126,REGULAR AIR,18-11-2009,76
9127,EXPRESS AIR,12/10/2011,77
9509,DELIVERY TRUCK,8/10/2012,78
9509,EXPRESS AIR,8/10/2012,79
9509,REGULAR AIR,7/10/2012,80
9763,REGULAR AIR,16-08-2011,81
9927,DELIVERY TRUCK,17-08-2011,82
9927,REGULAR AIR,17-08-2011,83
9927,EXPRESS AIR,17-08-2011,84
10022,REGULAR AIR,4/3/2009,85
10437,REGULAR AIR,20-08-2009,86
10499,DELIVERY TRUCK,17-11-2010,87
10535,REGULAR AIR,29-05-2011,88
10535,REGULAR AIR,3/6/2011,89
10789,EXPRESS AIR,24-08-2010,90
10791,REGULAR AIR,21-08-2011,91
10945,REGULAR AIR,5/1/2012,92
11137,REGULAR AIR,30-11-2012,93
11202,REGULAR AIR,18-03-2012,94
11456,REGULAR AIR,19-04-2010,95
11460,REGULAR AIR,26-08-2010,96
11495,DELIVERY TRUCK,5/7/2011,97
11911,REGULAR AIR,12/11/2010,98
11941,REGULAR AIR,25-06-2010,99
11941,DELIVERY TRUCK,25-06-2010,100
12096,REGULAR AIR,19-09-2012,101
12096,REGULAR AIR,21-09-2012,102
12289,REGULAR AIR,28-12-2011,103
12352,REGULAR AIR,24-03-2012,104
12419,REGULAR AIR,17-10-2011,105
12485,DELIVERY TRUCK,8/8/2010,106
12544,REGULAR AIR,10/3/2009,107
12704,REGULAR AIR,9/2/2010,108
12704,DELIVERY TRUCK,11/2/2010,109
12771,REGULAR AIR,17-01-2009,110
12771,REGULAR AIR,19-01-2009,111
12929,DELIVERY TRUCK,31-08-2010,112
12929,REGULAR AIR,31-08-2010,113
13280,REGULAR AIR,12/9/2009,114
13313,REGULAR AIR,17-07-2009,115
13346,REGULAR AIR,20-11-2012,116
13702,REGULAR AIR,14-09-2011,117
13795,REGULAR AIR,13-04-2011,118
13795,EXPRESS AIR,13-04-2011,119
13795,REGULAR AIR,11/4/2011,120
14116,REGULAR AIR,11/10/2011,121
14116,REGULAR AIR,10/10/2011,122
14372,DELIVERY TRUCK,25-10-2012,123
14726,REGULAR AIR,8/1/2012,124
14819,REGULAR AIR,27-01-2010,125
14819,DELIVERY TRUCK,26-01-2010,126
15106,REGULAR AIR,29-01-2011,127
15106,DELIVERY TRUCK,27-01-2011,128
15108,REGULAR AIR,29-08-2009,129
15205,DELIVERY TRUCK,19-03-2011,130
15205,REGULAR AIR,18-03-2011,131
15591,REGULAR AIR,8/6/2012,132
15907,DELIVERY TRUCK,13-04-2011,133
15907,EXPRESS AIR,14-04-2011,134
15907,REGULAR AIR,12/4/2011,135
15937,REGULAR AIR,10/11/2012,136
15937,EXPRESS AIR,15-11-2012,137
16039,REGULAR AIR,17-05-2012,138
16193,REGULAR AIR,11/4/2012,139
16423,REGULAR AIR,7/8/2012,140
16451,REGULAR AIR,23-07-2009,141
16545,REGULAR AIR,11/5/2010,142
16547,DELIVERY TRUCK,20-02-2009,143
16547,DELIVERY TRUCK,18-02-2009,144
16706,REGULAR AIR,28-06-2012,145
16706,EXPRESS AIR,29-06-2012,146
16741,REGULAR AIR,1/10/2010,147
16932,REGULAR AIR,16-04-2010,148
16932,REGULAR AIR,15-04-2010,149
17283,DELIVERY TRUCK,15-09-2011,150
17286,DELIVERY TRUCK,22-09-2010,151
17409,REGULAR AIR,19-08-2010,152
17764,REGULAR AIR,16-09-2009,153
18080,DELIVERY TRUCK,23-06-2009,154
18113,DELIVERY TRUCK,30-08-2012,155
18144,REGULAR AIR,9/6/2011,156
18308,REGULAR AIR,11/10/2009,157
18308,REGULAR AIR,9/10/2009,158
18308,REGULAR AIR,10/10/2009,159
18887,REGULAR AIR,7/12/2010,160
19010,REGULAR AIR,9/6/2009,161
19078,REGULAR AIR,28-07-2009,162
19138,EXPRESS AIR,10/9/2011,163
19655,REGULAR AIR,12/1/2009,164
19686,REGULAR AIR,15-08-2010,165
19686,REGULAR AIR,17-08-2010,166
20007,REGULAR AIR,6/8/2009,167
20071,DELIVERY TRUCK,19-09-2011,168
20160,EXPRESS AIR,24-10-2011,169
20263,REGULAR AIR,15-11-2009,170
20263,REGULAR AIR,16-11-2009,171
21285,REGULAR AIR,4/7/2010,172
21285,REGULAR AIR,5/7/2010,173
21383,REGULAR AIR,4/2/2009,174
21607,REGULAR AIR,17-03-2012,175
21636,REGULAR AIR,10/8/2009,176
21889,REGULAR AIR,8/4/2010,177
21889,REGULAR AIR,3/4/2010,178
22151,REGULAR AIR,31-07-2010,179
22342,REGULAR AIR,5/6/2009,180
22469,REGULAR AIR,13-10-2010,181
22501,EXPRESS AIR,19-05-2010,182
22532,REGULAR AIR,8/2/2011,183
23264,REGULAR AIR,9/12/2010,184
23488,DELIVERY TRUCK,7/1/2009,185
23584,DELIVERY TRUCK,14-03-2012,186
24007,REGULAR AIR,2/9/2010,187
24007,REGULAR AIR,30-08-2010,188
24038,REGULAR AIR,22-06-2011,189
24097,REGULAR AIR,4/8/2010,190
24097,REGULAR AIR,6/8/2010,191
24128,REGULAR AIR,25-11-2010,192
24294,DELIVERY TRUCK,3/8/2009,193
24387,REGULAR AIR,11/8/2011,194
24387,DELIVERY TRUCK,10/8/2011,195
24515,DELIVERY TRUCK,8/5/2010,196
24743,DELIVERY TRUCK,5/7/2012,197
24743,REGULAR AIR,3/7/2012,198
24871,REGULAR AIR,24-03-2011,199
25318,EXPRESS AIR,21-11-2011,200
25377,DELIVERY TRUCK,3/12/2012,201
25634,REGULAR AIR,1/8/2010,202
25634,EXPRESS AIR,30-07-2010,203
25733,REGULAR AIR,17-05-2012,204
25767,REGULAR AIR,3/3/2012,205
25767,REGULAR AIR,4/3/2012,206
26023,REGULAR AIR,21-08-2010,207
26051,DELIVERY TRUCK,29-06-2010,208
26051,REGULAR AIR,28-06-2010,209
26116,REGULAR AIR,30-10-2012,210
26182,DELIVERY TRUCK,19-01-2010,211
26272,EXPRESS AIR,8/7/2012,212
26370,REGULAR AIR,10/8/2011,213
26370,EXPRESS AIR,10/8/2011,214
26499,REGULAR AIR,22-02-2010,215
26531,REGULAR AIR,22-06-2011,216
26567,REGULAR AIR,4/9/2009,217
26567,EXPRESS AIR,7/9/2009,218
26567,REGULAR AIR,5/9/2009,219
26854,REGULAR AIR,22-06-2009,220
27109,REGULAR AIR,10/2/2012,221
27111,REGULAR AIR,14-03-2009,222
27111,REGULAR AIR,12/3/2009,223
27111,EXPRESS AIR,11/3/2009,224
27264,REGULAR AIR,6/6/2011,225
27392,REGULAR AIR,11/3/2012,226
27553,DELIVERY TRUCK,14-08-2011,227
27553,REGULAR AIR,14-08-2011,228
27555,REGULAR AIR,3/9/2009,229
27680,REGULAR AIR,27-01-2010,230
27778,REGULAR AIR,4/9/2011,231
27778,DELIVERY TRUCK,4/9/2011,232
27909,REGULAR AIR,9/2/2012,233
27909,REGULAR AIR,10/2/2012,234
28003,REGULAR AIR,21-03-2011,235
28035,REGULAR AIR,10/5/2011,236
28135,REGULAR AIR,27-09-2009,237
28135,REGULAR AIR,25-09-2009,238
28165,REGULAR AIR,11/7/2012,239
28289,REGULAR AIR,15-01-2010,240
28486,REGULAR AIR,27-08-2009,241
28675,REGULAR AIR,9/10/2009,242
28870,REGULAR AIR,13-11-2011,243
28871,REGULAR AIR,15-04-2012,244
29030,REGULAR AIR,3/1/2012,245
29095,REGULAR AIR,9/3/2011,246
29287,REGULAR AIR,4/7/2009,247
29287,DELIVERY TRUCK,4/7/2009,248
29510,DELIVERY TRUCK,17-04-2011,249
29795,REGULAR AIR,26-11-2011,250
29795,DELIVERY TRUCK,26-11-2011,251
29861,REGULAR AIR,26-04-2012,252
30658,REGULAR AIR,27-03-2011,253
30658,REGULAR AIR,28-03-2011,254
30947,REGULAR AIR,18-07-2010,255
31077,REGULAR AIR,25-10-2010,256
31111,REGULAR AIR,26-08-2009,257
31169,REGULAR AIR,13-06-2011,258
31270,DELIVERY TRUCK,24-11-2012,259
31270,DELIVERY TRUCK,25-11-2012,260
31270,REGULAR AIR,25-11-2012,261
31364,REGULAR AIR,1/5/2009,262
31393,REGULAR AIR,12/5/2012,263
31393,REGULAR AIR,13-05-2012,264
31492,REGULAR AIR,17-10-2010,265
31492,EXPRESS AIR,18-10-2010,266
31492,REGULAR AIR,16-10-2010,267
31558,REGULAR AIR,28-07-2011,268
31558,REGULAR AIR,23-07-2011,269
31618,REGULAR AIR,11/7/2011,270
31684,REGULAR AIR,19-09-2012,271
31684,EXPRESS AIR,18-09-2012,272
31781,REGULAR AIR,17-01-2009,273
32193,EXPRESS AIR,22-10-2010,274
32193,REGULAR AIR,25-10-2010,275
32229,REGULAR AIR,30-08-2010,276
32229,REGULAR AIR,31-08-2010,277
32743,REGULAR AIR,9/5/2010,278
32806,REGULAR AIR,22-06-2011,279
33123,DELIVERY TRUCK,26-11-2010,280
33159,REGULAR AIR,29-04-2012,281
33186,REGULAR AIR,30-08-2012,282
33377,REGULAR AIR,2/8/2011,283
33377,REGULAR AIR,1/8/2011,284
33444,REGULAR AIR,7/10/2012,285
33444,REGULAR AIR,8/10/2012,286
33703,REGULAR AIR,7/2/2010,287
33703,EXPRESS AIR,8/2/2010,288
33734,REGULAR AIR,18-10-2011,289
33888,REGULAR AIR,23-08-2009,290
33888,REGULAR AIR,21-08-2009,291
33888,DELIVERY TRUCK,22-08-2009,292
33894,REGULAR AIR,17-06-2010,293
33894,REGULAR AIR,15-06-2010,294
33894,REGULAR AIR,16-06-2010,295
33894,EXPRESS AIR,16-06-2010,296
33922,DELIVERY TRUCK,27-02-2010,297
34177,REGULAR AIR,18-08-2009,298
34177,REGULAR AIR,16-08-2009,299
34215,REGULAR AIR,15-05-2011,300
34246,REGULAR AIR,8/10/2010,301
34246,REGULAR AIR,9/10/2010,302
34631,REGULAR AIR,24-10-2009,303
34631,REGULAR AIR,25-10-2009,304
35047,REGULAR AIR,11/6/2010,305
35266,REGULAR AIR,10/1/2011,306
35266,DELIVERY TRUCK,12/1/2011,307
35847,EXPRESS AIR,30-01-2009,308
36001,REGULAR AIR,30-03-2011,309
36001,REGULAR AIR,1/4/2011,310
36134,REGULAR AIR,22-11-2010,311
36135,REGULAR AIR,31-05-2011,312
36644,REGULAR AIR,14-05-2012,313
36646,EXPRESS AIR,9/6/2010,314
36707,REGULAR AIR,30-11-2009,315
37253,REGULAR AIR,1/9/2012,316
37541,REGULAR AIR,28-02-2010,317
37541,EXPRESS AIR,27-02-2010,318
37634,REGULAR AIR,22-05-2012,319
37793,REGULAR AIR,9/11/2009,320
37860,REGULAR AIR,29-08-2010,321
38884,REGULAR AIR,18-08-2012,322
38884,DELIVERY TRUCK,18-08-2012,323
39364,REGULAR AIR,10/11/2012,324
39364,REGULAR AIR,11/11/2012,325
39457,DELIVERY TRUCK,2/6/2011,326
39683,REGULAR AIR,13-08-2011,327
39683,REGULAR AIR,11/8/2011,328
39683,REGULAR AIR,12/8/2011,329
39846,REGULAR AIR,6/3/2009,330
40036,REGULAR AIR,8/6/2010,331
40067,REGULAR AIR,19-02-2012,332
40132,DELIVERY TRUCK,29-02-2012,333
40132,REGULAR AIR,2/3/2012,334
40160,REGULAR AIR,16-10-2009,335
40518,REGULAR AIR,14-03-2009,336
40804,DELIVERY TRUCK,14-03-2010,337
40902,REGULAR AIR,9/7/2009,338
41063,REGULAR AIR,23-11-2012,339
41063,REGULAR AIR,28-11-2012,340
41153,REGULAR AIR,3/3/2009,341
41184,REGULAR AIR,24-09-2011,342
41409,REGULAR AIR,23-07-2011,343
41696,EXPRESS AIR,15-07-2009,344
42209,REGULAR AIR,29-03-2010,345
42209,REGULAR AIR,1/4/2010,346
42561,EXPRESS AIR,8/2/2010,347
42564,DELIVERY TRUCK,19-09-2012,348
42695,REGULAR AIR,24-12-2010,349
42981,REGULAR AIR,1/6/2009,350
43109,REGULAR AIR,22-12-2012,351
43203,REGULAR AIR,16-02-2012,352
43236,REGULAR AIR,5/7/2010,353
43267,EXPRESS AIR,18-05-2011,354
43329,REGULAR AIR,10/3/2010,355
43330,REGULAR AIR,28-04-2009,356
43364,REGULAR AIR,10/4/2012,357
43392,REGULAR AIR,2/1/2011,358
43781,REGULAR AIR,2/2/2010,359
43781,EXPRESS AIR,3/2/2010,360
44071,REGULAR AIR,16-04-2012,361
44519,REGULAR AIR,20-05-2010,362
44519,DELIVERY TRUCK,20-05-2010,363
44708,REGULAR AIR,28-07-2009,364
44772,EXPRESS AIR,2/4/2009,365
44839,EXPRESS AIR,13-06-2012,366
45217,REGULAR AIR,2/9/2010,367
45440,DELIVERY TRUCK,11/8/2012,368
45766,REGULAR AIR,9/5/2010,369
45766,REGULAR AIR,8/5/2010,370
45861,REGULAR AIR,25-08-2011,371
45957,REGULAR AIR,23-09-2010,372
46912,REGULAR AIR,30-06-2012,373
46980,REGULAR AIR,17-01-2011,374
47460,REGULAR AIR,12/10/2010,375
47462,REGULAR AIR,11/6/2011,376
47620,REGULAR AIR,5/7/2012,377
47749,REGULAR AIR,16-03-2010,378
47873,REGULAR AIR,15-11-2010,379
47943,REGULAR AIR,14-11-2009,380
47943,REGULAR AIR,15-11-2009,381
48101,REGULAR AIR,14-09-2011,382
48295,REGULAR AIR,25-11-2009,383
48839,REGULAR AIR,12/7/2010,384
49154,REGULAR AIR,7/3/2009,385
49921,DELIVERY TRUCK,21-02-2011,386
49921,REGULAR AIR,19-02-2011,387
49952,EXPRESS AIR,20-11-2011,388
50117,REGULAR AIR,5/6/2011,389
50278,REGULAR AIR,25-05-2010,390
50278,DELIVERY TRUCK,27-05-2010,391
50374,REGULAR AIR,31-05-2009,392
50565,REGULAR AIR,30-08-2012,393
50688,REGULAR AIR,17-12-2011,394
50754,REGULAR AIR,10/12/2009,395
50914,REGULAR AIR,3/7/2012,396
51169,REGULAR AIR,26-12-2010,397
51938,REGULAR AIR,21-05-2011,398
51970,DELIVERY TRUCK,13-01-2012,399
51971,REGULAR AIR,5/10/2011,400
52193,EXPRESS AIR,7/3/2010,401
52193,REGULAR AIR,7/3/2010,402
52321,REGULAR AIR,7/11/2011,403
52321,DELIVERY TRUCK,5/11/2011,404
52386,DELIVERY TRUCK,7/1/2009,405
52807,REGULAR AIR,27-11-2010,406
52929,EXPRESS AIR,9/4/2011,407
52929,REGULAR AIR,9/4/2011,408
52964,REGULAR AIR,1/4/2010,409
